metric,uncalibrated,calibrated,delta_95ci,lower_is_better
AUC,"0.8556 [0.8091, 0.8943]","0.8556 [0.8091, 0.8943]","+0.0000 [+0.0000, +0.0000]",False
BRIER,"0.1577 [0.1265, 0.1928]","0.1423 [0.1218, 0.1658]","-0.0154 [-0.0282, -0.0033]",True
NLL,"0.6136 [0.4786, 0.7704]","0.4413 [0.3882, 0.5032]","-0.1724 [-0.2699, -0.0860]",True
ECE,"0.1128 [0.0912, 0.1646]","0.0510 [0.0457, 0.1043]","-0.0619 [-0.0936, -0.0071]",True
Accuracy,0.8071,0.8071,identical by construction (fixed 0.5 threshold; see Cell 8 verification),n/a
Precision,0.6863,0.6863,identical by construction (fixed 0.5 threshold; see Cell 8 verification),n/a
Recall,0.6796,0.6796,identical by construction (fixed 0.5 threshold; see Cell 8 verification),n/a
Specificity,0.8632,0.8632,identical by construction (fixed 0.5 threshold; see Cell 8 verification),n/a
F1,0.6829,0.6829,identical by construction (fixed 0.5 threshold; see Cell 8 verification),n/a
