metric,uncalibrated_point,uncalibrated_ci_low,uncalibrated_ci_high,calibrated_point,calibrated_ci_low,calibrated_ci_high,delta_point,delta_ci_low,delta_ci_high,lower_is_better
auc,0.8556343871877852,0.8091054139793459,0.8942729964763395,0.8556343871877852,0.8091054139793459,0.8942729964763395,0.0,0.0,0.0,False
brier,0.15771590377820002,0.12650942215467836,0.19284678357854212,0.14232778969184837,0.12177873588985977,0.16576470083287162,-0.015388114086351656,-0.02815132090319158,-0.0033351953343189974,True
nll,0.6136451140102944,0.4786241439422114,0.7704291426338898,0.44126013175465667,0.38817653539786307,0.5032336164481048,-0.17238498225563775,-0.269891230167726,-0.08599318229445314,True
ece,0.11283093938487931,0.09122103373976066,0.16464144836459033,0.05097123333976498,0.04569020566209127,0.10432977921262526,-0.061859706045114336,-0.09361269166535663,-0.007072924955602283,True
